ID,codigo,cliente,activo,contactoEnSitio,ubicacionServicio,canal,tipoServicio,prioridad,descripcion,estado,responsable,ventanaInicio,ventanaFin,requiereVisitaDiagnostico,vencimientoSLA,slaIncumplido,externalID,proveedorExterno,estadoIntegracion
solicitud-servicio-075,ST-SOL-075,cliente-servicio-075,activo-075,Contacto operativo 75,"{""coordinates"":[7.1254,-73.11]}",Web,Diagnóstico remoto,Crítica,Solicitud sintética con alcance técnico documentado.,Ejecutada,supervisora-demo,2026-08-02T23:00:00Z,2026-08-03T03:00:00Z,true,2026-07-30T21:00:00Z,false,FSM-SOL-075,Portal demo,Local
solicitud-servicio-076,ST-SOL-076,cliente-servicio-076,activo-076,Contacto operativo 76,"{""coordinates"":[4.808,-75.683]}",Teléfono,Instalación,Baja,Solicitud sintética con alcance técnico documentado.,Cerrada,supervisora-demo,2026-08-04T00:00:00Z,2026-08-04T04:00:00Z,false,2026-07-30T22:00:00Z,false,FSM-SOL-076,Portal demo,Local
solicitud-servicio-077,ST-SOL-077,cliente-servicio-077,activo-077,Contacto operativo 77,"{""coordinates"":[5.06,-75.493]}",WhatsApp,Mantenimiento,Media,Solicitud sintética con alcance técnico documentado.,Recibida,supervisora-demo,2026-08-05T01:00:00Z,2026-08-05T05:00:00Z,false,2026-07-30T23:00:00Z,false,FSM-SOL-077,Portal demo,Local
solicitud-servicio-078,ST-SOL-078,cliente-servicio-078,activo-078,Contacto operativo 78,"{""coordinates"":[4.4449,-75.2382]}",Correo,Reparación,Alta,Solicitud sintética con alcance técnico documentado.,En diagnóstico,supervisora-demo,2026-08-06T02:00:00Z,2026-08-06T06:00:00Z,true,2026-07-31T00:00:00Z,false,FSM-SOL-078,Portal demo,Local
solicitud-servicio-079,ST-SOL-079,cliente-servicio-079,activo-079,Contacto operativo 79,"{""coordinates"":[4.15,-73.6346]}",Web,Diagnóstico remoto,Crítica,Solicitud sintética con alcance técnico documentado.,Cotizada,supervisora-demo,2026-08-07T03:00:00Z,2026-08-07T07:00:00Z,false,2026-07-31T01:00:00Z,false,FSM-SOL-079,Portal demo,Local
solicitud-servicio-080,ST-SOL-080,cliente-servicio-080,activo-080,Contacto operativo 80,"{""coordinates"":[4.6486,-74.0637]}",Teléfono,Instalación,Baja,Solicitud sintética con alcance técnico documentado.,Aceptada,supervisora-demo,2026-08-07T20:00:00Z,2026-08-08T00:00:00Z,false,2026-07-31T02:00:00Z,false,FSM-SOL-080,Portal demo,Local
solicitud-servicio-081,ST-SOL-081,cliente-servicio-081,activo-081,Contacto operativo 81,"{""coordinates"":[6.2108,-75.5699]}",WhatsApp,Mantenimiento,Media,Solicitud sintética con alcance técnico documentado.,Programada,supervisora-demo,2026-08-08T21:00:00Z,2026-08-09T01:00:00Z,true,2026-07-31T03:00:00Z,true,FSM-SOL-081,Portal demo,Local
solicitud-servicio-082,ST-SOL-082,cliente-servicio-082,activo-082,Contacto operativo 82,"{""coordinates"":[3.3737,-76.5351]}",Correo,Reparación,Alta,Solicitud sintética con alcance técnico documentado.,Ejecutada,supervisora-demo,2026-08-09T22:00:00Z,2026-08-10T02:00:00Z,false,2026-07-31T04:00:00Z,false,FSM-SOL-082,Portal demo,Local
solicitud-servicio-083,ST-SOL-083,cliente-servicio-083,activo-083,Contacto operativo 83,"{""coordinates"":[11.0162,-74.8271]}",Web,Diagnóstico remoto,Crítica,Solicitud sintética con alcance técnico documentado.,Cerrada,supervisora-demo,2026-08-10T23:00:00Z,2026-08-11T03:00:00Z,false,2026-07-31T05:00:00Z,false,FSM-SOL-083,Portal demo,Local
solicitud-servicio-084,ST-SOL-084,cliente-servicio-084,activo-084,Contacto operativo 84,"{""coordinates"":[10.4176,-75.5475]}",Teléfono,Instalación,Baja,Solicitud sintética con alcance técnico documentado.,Recibida,supervisora-demo,2026-07-29T00:00:00Z,2026-07-29T04:00:00Z,true,2026-07-31T06:00:00Z,false,FSM-SOL-084,Portal demo,Local
solicitud-servicio-085,ST-SOL-085,cliente-servicio-085,activo-085,Contacto operativo 85,"{""coordinates"":[7.1254,-73.11]}",WhatsApp,Mantenimiento,Media,Solicitud sintética con alcance técnico documentado.,En diagnóstico,supervisora-demo,2026-07-30T01:00:00Z,2026-07-30T05:00:00Z,false,2026-07-31T07:00:00Z,false,FSM-SOL-085,Portal demo,Local
solicitud-servicio-086,ST-SOL-086,cliente-servicio-086,activo-086,Contacto operativo 86,"{""coordinates"":[4.808,-75.683]}",Correo,Reparación,Alta,Solicitud sintética con alcance técnico documentado.,Cotizada,supervisora-demo,2026-07-31T02:00:00Z,2026-07-31T06:00:00Z,false,2026-07-31T08:00:00Z,false,FSM-SOL-086,Portal demo,Local
solicitud-servicio-087,ST-SOL-087,cliente-servicio-087,activo-087,Contacto operativo 87,"{""coordinates"":[5.06,-75.493]}",Web,Diagnóstico remoto,Crítica,Solicitud sintética con alcance técnico documentado.,Aceptada,supervisora-demo,2026-08-01T03:00:00Z,2026-08-01T07:00:00Z,true,2026-07-31T09:00:00Z,false,FSM-SOL-087,Portal demo,Local
solicitud-servicio-088,ST-SOL-088,cliente-servicio-088,activo-088,Contacto operativo 88,"{""coordinates"":[4.4449,-75.2382]}",Teléfono,Instalación,Baja,Solicitud sintética con alcance técnico documentado.,Programada,supervisora-demo,2026-08-01T20:00:00Z,2026-08-02T00:00:00Z,false,2026-07-31T10:00:00Z,false,FSM-SOL-088,Portal demo,Local
solicitud-servicio-089,ST-SOL-089,cliente-servicio-089,activo-089,Contacto operativo 89,"{""coordinates"":[4.15,-73.6346]}",WhatsApp,Mantenimiento,Media,Solicitud sintética con alcance técnico documentado.,Ejecutada,supervisora-demo,2026-08-02T21:00:00Z,2026-08-03T01:00:00Z,false,2026-07-31T11:00:00Z,false,FSM-SOL-089,Portal demo,Local
solicitud-servicio-090,ST-SOL-090,cliente-servicio-090,activo-090,Contacto operativo 90,"{""coordinates"":[4.6486,-74.0637]}",Correo,Reparación,Alta,Solicitud sintética con alcance técnico documentado.,Cerrada,supervisora-demo,2026-08-03T22:00:00Z,2026-08-04T02:00:00Z,true,2026-07-31T12:00:00Z,true,FSM-SOL-090,Portal demo,Local
solicitud-servicio-091,ST-SOL-091,cliente-servicio-091,activo-091,Contacto operativo 91,"{""coordinates"":[6.2108,-75.5699]}",Web,Diagnóstico remoto,Crítica,Solicitud sintética con alcance técnico documentado.,Recibida,supervisora-demo,2026-08-04T23:00:00Z,2026-08-05T03:00:00Z,false,2026-07-31T13:00:00Z,false,FSM-SOL-091,Portal demo,Local
solicitud-servicio-092,ST-SOL-092,cliente-servicio-092,activo-092,Contacto operativo 92,"{""coordinates"":[3.3737,-76.5351]}",Teléfono,Instalación,Baja,Solicitud sintética con alcance técnico documentado.,En diagnóstico,supervisora-demo,2026-08-06T00:00:00Z,2026-08-06T04:00:00Z,false,2026-07-31T14:00:00Z,false,FSM-SOL-092,Portal demo,Local
solicitud-servicio-093,ST-SOL-093,cliente-servicio-093,activo-093,Contacto operativo 93,"{""coordinates"":[11.0162,-74.8271]}",WhatsApp,Mantenimiento,Media,Solicitud sintética con alcance técnico documentado.,Cotizada,supervisora-demo,2026-08-07T01:00:00Z,2026-08-07T05:00:00Z,true,2026-07-31T15:00:00Z,false,FSM-SOL-093,Portal demo,Local
solicitud-servicio-094,ST-SOL-094,cliente-servicio-094,activo-094,Contacto operativo 94,"{""coordinates"":[10.4176,-75.5475]}",Correo,Reparación,Alta,Solicitud sintética con alcance técnico documentado.,Aceptada,supervisora-demo,2026-08-08T02:00:00Z,2026-08-08T06:00:00Z,false,2026-07-31T16:00:00Z,false,FSM-SOL-094,Portal demo,Local
solicitud-servicio-095,ST-SOL-095,cliente-servicio-095,activo-095,Contacto operativo 95,"{""coordinates"":[7.1254,-73.11]}",Web,Diagnóstico remoto,Crítica,Solicitud sintética con alcance técnico documentado.,Programada,supervisora-demo,2026-08-09T03:00:00Z,2026-08-09T07:00:00Z,false,2026-07-31T17:00:00Z,false,FSM-SOL-095,Portal demo,Local
solicitud-servicio-096,ST-SOL-096,cliente-servicio-096,activo-096,Contacto operativo 96,"{""coordinates"":[4.808,-75.683]}",Teléfono,Instalación,Baja,Solicitud sintética con alcance técnico documentado.,Ejecutada,supervisora-demo,2026-08-09T20:00:00Z,2026-08-10T00:00:00Z,true,2026-07-31T18:00:00Z,false,FSM-SOL-096,Portal demo,Local
solicitud-servicio-097,ST-SOL-097,cliente-servicio-097,activo-097,Contacto operativo 97,"{""coordinates"":[5.06,-75.493]}",WhatsApp,Mantenimiento,Media,Solicitud sintética con alcance técnico documentado.,Cerrada,supervisora-demo,2026-08-10T21:00:00Z,2026-08-11T01:00:00Z,false,2026-07-31T19:00:00Z,false,FSM-SOL-097,Portal demo,Local
solicitud-servicio-098,ST-SOL-098,cliente-servicio-098,activo-098,Contacto operativo 98,"{""coordinates"":[4.4449,-75.2382]}",Correo,Reparación,Alta,Solicitud sintética con alcance técnico documentado.,Recibida,supervisora-demo,2026-07-28T22:00:00Z,2026-07-29T02:00:00Z,false,2026-07-31T20:00:00Z,false,FSM-SOL-098,Portal demo,Local
solicitud-servicio-099,ST-SOL-099,cliente-servicio-099,activo-099,Contacto operativo 99,"{""coordinates"":[4.15,-73.6346]}",Web,Diagnóstico remoto,Crítica,Solicitud sintética con alcance técnico documentado.,En diagnóstico,supervisora-demo,2026-07-29T23:00:00Z,2026-07-30T03:00:00Z,true,2026-07-31T21:00:00Z,true,FSM-SOL-099,Portal demo,Local
solicitud-servicio-100,ST-SOL-100,cliente-servicio-100,activo-100,Contacto operativo 100,"{""coordinates"":[4.6486,-74.0637]}",Teléfono,Instalación,Baja,Solicitud sintética con alcance técnico documentado.,Cotizada,supervisora-demo,2026-07-31T00:00:00Z,2026-07-31T04:00:00Z,false,2026-07-31T22:00:00Z,false,FSM-SOL-100,Portal demo,Local
