ID,registroCampana,contacto,campana,agente,direccion,inicio,fin,duracionSegundos,disposicion,resumen,callback,externalID,proveedorExterno,grabacionURL,transcripcionURL,estadoIntegracion
llamada-089,registro-campana-089,contacto-089,campana-001,agente-demo,Saliente,2026-07-30T10:47:00Z,2026-07-30T10:49:09Z,129,No interesado,Llamada sintética con disposición comercial.,2026-08-06T12:00:00Z,CALL-DEMO-0089,Telefonía demo,https://example.invalid/recordings/89,https://example.invalid/transcripts/89,Local
llamada-090,registro-campana-090,contacto-090,campana-002,agente-demo,Saliente,2026-07-30T10:30:00Z,2026-07-30T10:32:10Z,130,No contesta,Llamada sintética con disposición comercial.,2026-08-07T12:00:00Z,CALL-DEMO-0090,Telefonía demo,https://example.invalid/recordings/90,https://example.invalid/transcripts/90,Local
llamada-091,registro-campana-091,contacto-091,campana-003,agente-demo,Saliente,2026-07-30T10:13:00Z,2026-07-30T10:15:11Z,131,Ocupado,Llamada sintética con disposición comercial.,2026-08-01T12:00:00Z,CALL-DEMO-0091,Telefonía demo,https://example.invalid/recordings/91,https://example.invalid/transcripts/91,Local
llamada-092,registro-campana-092,contacto-092,campana-004,agente-demo,Saliente,2026-07-30T09:56:00Z,2026-07-30T09:58:12Z,132,Callback,Llamada sintética con disposición comercial.,2026-08-02T12:00:00Z,CALL-DEMO-0092,Telefonía demo,https://example.invalid/recordings/92,https://example.invalid/transcripts/92,Local
llamada-093,registro-campana-093,contacto-093,campana-001,agente-demo,Saliente,2026-07-30T09:39:00Z,2026-07-30T09:41:13Z,133,Contactado,Llamada sintética con disposición comercial.,2026-08-03T12:00:00Z,CALL-DEMO-0093,Telefonía demo,https://example.invalid/recordings/93,https://example.invalid/transcripts/93,Local
llamada-094,registro-campana-094,contacto-094,campana-002,agente-demo,Saliente,2026-07-30T09:22:00Z,2026-07-30T09:24:14Z,134,Calificado,Llamada sintética con disposición comercial.,2026-08-04T12:00:00Z,CALL-DEMO-0094,Telefonía demo,https://example.invalid/recordings/94,https://example.invalid/transcripts/94,Local
llamada-095,registro-campana-095,contacto-095,campana-003,agente-demo,Saliente,2026-07-30T09:05:00Z,2026-07-30T09:07:15Z,135,No interesado,Llamada sintética con disposición comercial.,2026-08-05T12:00:00Z,CALL-DEMO-0095,Telefonía demo,https://example.invalid/recordings/95,https://example.invalid/transcripts/95,Local
llamada-096,registro-campana-096,contacto-096,campana-004,agente-demo,Saliente,2026-07-30T08:48:00Z,2026-07-30T08:50:16Z,136,No contesta,Llamada sintética con disposición comercial.,2026-08-06T12:00:00Z,CALL-DEMO-0096,Telefonía demo,https://example.invalid/recordings/96,https://example.invalid/transcripts/96,Local
llamada-097,registro-campana-097,contacto-097,campana-001,agente-demo,Saliente,2026-07-30T08:31:00Z,2026-07-30T08:33:17Z,137,Ocupado,Llamada sintética con disposición comercial.,2026-08-07T12:00:00Z,CALL-DEMO-0097,Telefonía demo,https://example.invalid/recordings/97,https://example.invalid/transcripts/97,Local
llamada-098,registro-campana-098,contacto-098,campana-002,agente-demo,Saliente,2026-07-30T08:14:00Z,2026-07-30T08:16:18Z,138,Callback,Llamada sintética con disposición comercial.,2026-08-01T12:00:00Z,CALL-DEMO-0098,Telefonía demo,https://example.invalid/recordings/98,https://example.invalid/transcripts/98,Local
llamada-099,registro-campana-099,contacto-099,campana-003,agente-demo,Saliente,2026-07-30T07:57:00Z,2026-07-30T07:59:19Z,139,Contactado,Llamada sintética con disposición comercial.,2026-08-02T12:00:00Z,CALL-DEMO-0099,Telefonía demo,https://example.invalid/recordings/99,https://example.invalid/transcripts/99,Local
llamada-100,registro-campana-100,contacto-100,campana-004,agente-demo,Saliente,2026-07-30T07:40:00Z,2026-07-30T07:42:20Z,140,Calificado,Llamada sintética con disposición comercial.,2026-08-03T12:00:00Z,CALL-DEMO-0100,Telefonía demo,https://example.invalid/recordings/100,https://example.invalid/transcripts/100,Local
